	#	St	MLS #	PST	Area	Address	City	BR	FB	HB	A/D	Pool	Liv Sqft	Yr Built	Acres	Sale Ty	Price	$/Sqft	DOM	CDOM											
	13	A	853786	SF	27	13378 Drayton Dr	Spring Hill	2	2	0	2,0	Yes	1,550	1985	0.32	ARMS	$299,900	$193.48	123	123											
	14	A	854811	SF	27	4118 Ramona Drive	Spring Hill	3	2	0	2,0	Yes	1,278	2006	0.29	ARMS	$305,000	$238.65	92	92											
	15	A	856695	SF	27	12152 Landfair Street	Spring Hill	3	2	0	2,0	No	1,600	2016	0.23	ARMS	$319,900	$199.94	13	13											
	16	A	855970	SF	27	10376 Henderson Street	Spring Hill	3	2	0	2,0	Yes	1,825	1992	0.22	ARMS	$335,000	$183.56	42	42											
	17	A	855511	SF	27	8388 Omaha Circle	Spring Hill	3	2	0	2,0	Yes	1,833	1996	0.24	ARMS	$339,000	$184.94	62	62											
	18	A	851317	SF	27	2399 Gallagher Avenue	Spring Hill	3	2	0	0,0	Yes	1,220	1980	0.23	ARMS	$355,000	$290.98	116	116											
	19	A	856606	SF	27	5139 Jenson Avenue	Spring Hill	4	2	0	2,0	No	2,145	2023	0.23	ARMS	$364,000	$169.70	18	18											
	20	A	856849	SF	27	8018 Sugarbush Drive	Spring Hill	3	3	0	2,0	No	1,796	1993	0.17	ARMS	$365,000	$203.23	4	4											
	21	A	854896	SF	27	699 Winthrop Drive	Spring Hill	4	3	0	2,0	No	2,466	2008	0.13	ARMS	$365,000	$148.01	88	88											
	22	A	855076	SF	27	11382 Pickford Street	Spring Hill	3	2	0	2,0	Yes	1,471	1987	0.23	ARMS	$369,000	$250.85	79	79											
	23	A	855840	SF	27	6170 Gainsboro Avenue	Spring Hill	3	2	0	2,0	Yes	1,508	2002	0.34	ARMS	$375,000	$248.67	49	49											
	24	A	855318	SF	27	4215 Maplehurst Way	Spring Hill	3	2	1	2,0	No	2,694	2006	0.16	ARMS	$375,000	$139.20	57	57											
	25	A	855264	SF	27	2235 Springmeadow Drive	Spring Hill	3	2	0	2,0	No	1,508	1996	0.10	ARMS	$379,000	$251.33	67	67											
	26	A	856850	SF	27	2317 Scenic Hill Drive	Spring Hill	3	2	0	2,0	No	1,955	1992	0.25	ARMS	$385,000	$196.93	4	4											
	27	A	853353	SF	27	13454 Golden Lime Avenue	Spring Hill	4	3	0	3,0	No	2,557	2021	0.21	ARMS	$399,900	$156.39	145	145											
	28	A	855656	SF	27	13772 Dunwoody Drive	Spring Hill	4	2	1	3,0	No	2,796	2006	0.20	ARMS	$425,000	$152.00	56	56											
	29	A	853950	SF	30	10417 Golfers Way	Spring Hill	5	2	0	2,0	Yes	2,464	1994	0.70	ARMS	$425,000	$172.48	108	108											
	30	A	852220	SF	27	13380 Barlington Street	Spring Hill	5	2	0	0,0	Yes	3,300	1981	0.46	ARMS	$429,900	$130.27	181	181											
	31	A	849254	SF	27	7319 Lagoon Road	Spring Hill	7	2	1	2,0	Yes	3,096	2004	0.32	ARMS	$429,900	$138.86	293	293											
	32	A	856581	SF	27	7256 Royal Oak Drive	Spring Hill	3	2	0	2,0	Yes	2,179	1984	0.56	REO	$450,000	$206.52	19	19											
	33	A	856418	SF	27	3358 Ponytail Court	Spring Hill	4	3	0	2,0	No	2,301	2019	0.50	ARMS	$495,000	$215.12	26	26											
	34	A	853266	SF	27	348 Florian Way	Spring Hill	4	3	0	3,0	Yes	3,198	1990	1.08	ARMS	$624,900	$195.40	144	144											
	35	P	853880	SF	27	3017 Whispering Pines Court	Spring Hill	2	2	0	2,0	No	1,415	1992	0.08	ARMS	$240,000	$169.61	13	13											
	36	P	840692	SF	27	1474 Coble Road	Spring Hill	3	2	0	1,0	No	1,386	1980	0.23	AGT OWN	$249,990	$180.37	40	40											
	37	P	854826	SF	27	7360 Blackhawk Trail	Spring Hill	2	2	0	2,0	No	1,474	1973	0.16	ARMS	$260,000	$176.39	41	41											
	38	P	851569	SF	27	6422 Fairlawn Street	Spring Hill	3	2	0	2,0	Yes	1,387	1972	0.37	ARMS	$339,000	$244.41	109	109											
